id,name,path_with_namespace,html_url,description,stars,forks,updated_at
4368259,chromium_third_party_libaddressinput,OpenHarmony-TPC / chromium_third_party_libaddressinput,https://gitcode.com/openharmony-tpc/chromium_third_party_libaddressinput,第三方软件libaddressinput,0,5,2025-02-17T14:30:44.624+08:00
4368251,chromium_third_party_wayland_protocols_gtk,OpenHarmony-TPC / chromium_third_party_wayland_protocols_gtk,https://gitcode.com/openharmony-tpc/chromium_third_party_wayland_protocols_gtk,设计替代X的显示服务器gtk,0,6,2025-02-17T14:30:31.419+08:00
4368246,chromium_third_party_angle,OpenHarmony-TPC / chromium_third_party_angle,https://gitcode.com/openharmony-tpc/chromium_third_party_angle,第三方软件angle底层的图形渲染引擎的一部分,0,14,2025-02-17T14:30:17.326+08:00
4368239,chromium_third_party_minizip,OpenHarmony-TPC / chromium_third_party_minizip,https://gitcode.com/openharmony-tpc/chromium_third_party_minizip,第三方软件minizip,1,3,2025-02-17T14:30:03.021+08:00
4368231,chromium_third_party_flatbuffers,OpenHarmony-TPC / chromium_third_party_flatbuffers,https://gitcode.com/openharmony-tpc/chromium_third_party_flatbuffers,第三方软件flatbuffers,0,4,2025-02-17T14:29:49.948+08:00
4368226,chromium_third_party_libaom,OpenHarmony-TPC / chromium_third_party_libaom,https://gitcode.com/openharmony-tpc/chromium_third_party_libaom,第三方软件libaom,0,5,2025-02-17T14:29:36.246+08:00
4368220,chromium_third_party_wayland_protocols_kde,OpenHarmony-TPC / chromium_third_party_wayland_protocols_kde,https://gitcode.com/openharmony-tpc/chromium_third_party_wayland_protocols_kde,设计替代X的显示服务器kde,0,5,2025-02-17T14:29:23.031+08:00
4368216,chromium_third_party_apache_portable_runtime,OpenHarmony-TPC / chromium_third_party_apache_portable_runtime,https://gitcode.com/openharmony-tpc/chromium_third_party_apache_portable_runtime,可移植运行库,0,5,2025-02-17T14:29:10.067+08:00
4368211,chromium_third_party_mockito,OpenHarmony-TPC / chromium_third_party_mockito,https://gitcode.com/openharmony-tpc/chromium_third_party_mockito,第三方软件mockito,0,3,2025-02-17T14:28:56.822+08:00
4368207,chromium_third_party_fontconfig,OpenHarmony-TPC / chromium_third_party_fontconfig,https://gitcode.com/openharmony-tpc/chromium_third_party_fontconfig,第三方软件fontconfig,0,4,2025-02-17T14:28:43.683+08:00
4368202,chromium_third_party_libavif,OpenHarmony-TPC / chromium_third_party_libavif,https://gitcode.com/openharmony-tpc/chromium_third_party_libavif,第三方软件libavif,0,4,2025-02-17T14:28:30.754+08:00
4368197,chromium_third_party_wayland_protocols_src,OpenHarmony-TPC / chromium_third_party_wayland_protocols_src,https://gitcode.com/openharmony-tpc/chromium_third_party_wayland_protocols_src,设计替代X的显示服务器src,0,5,2025-02-17T14:28:17.186+08:00
4368191,chromium_third_party_boringssl,OpenHarmony-TPC / chromium_third_party_boringssl,https://gitcode.com/openharmony-tpc/chromium_third_party_boringssl,BoringSSL 是google创建的 OpenSSL 分支,0,6,2025-02-17T14:28:03.242+08:00
4368187,chromium_third_party_nasm,OpenHarmony-TPC / chromium_third_party_nasm,https://gitcode.com/openharmony-tpc/chromium_third_party_nasm,第三方软件nasm,0,4,2025-02-17T14:27:48.559+08:00
4368181,chromium_third_party_fp16,OpenHarmony-TPC / chromium_third_party_fp16,https://gitcode.com/openharmony-tpc/chromium_third_party_fp16,面向Opera浏览器和以Chrome为内核的浏览器设计的Flash Player,0,4,2025-02-17T14:27:34.957+08:00
4368177,chromium_third_party_libdrm,OpenHarmony-TPC / chromium_third_party_libdrm,https://gitcode.com/openharmony-tpc/chromium_third_party_libdrm,第三方软件libdrm,0,4,2025-02-17T14:27:21.941+08:00
4368171,chromium_third_party_webdriver,OpenHarmony-TPC / chromium_third_party_webdriver,https://gitcode.com/openharmony-tpc/chromium_third_party_webdriver,第三方软件webdriver,0,5,2025-02-17T14:27:08.231+08:00
4368167,chromium_third_party_breakpad,OpenHarmony-TPC / chromium_third_party_breakpad,https://gitcode.com/openharmony-tpc/chromium_third_party_breakpad,Breakpad 是一个库和工具集,0,6,2025-02-17T14:26:54.995+08:00
4368159,chromium_third_party_neon_2_sse,OpenHarmony-TPC / chromium_third_party_neon_2_sse,https://gitcode.com/openharmony-tpc/chromium_third_party_neon_2_sse,第三方软件neon_2_sse,0,4,2025-02-17T14:26:41.044+08:00
